Created Date,Descriptor,Incident Zip,Status
03/14/2016 02:39:00 PM,Lead Kit Request (Residential) (L10),11215,Open
03/14/2016 02:38:00 PM,Lead Kit Request (Residential) (L10),10128,Open
03/14/2016 02:06:00 PM,Lead Kit Request (Residential) (L10),10025,Open
03/14/2016 02:06:00 PM,Lead Kit Request (Residential) (L10),11225,Open
03/14/2016 02:05:00 PM,Lead Kit Request (Residential) (L10),11230,Open
03/14/2016 02:05:00 PM,Lead Kit Request (Residential) (L10),11101,Open
03/14/2016 01:54:00 PM,Lead Kit Request (Residential) (L10),11216,Open
03/14/2016 12:51:00 PM,Lead Kit Request (Residential) (L10),10040,Open
03/14/2016 12:39:00 PM,Lead Kit Request (Residential) (L10),11354,Open
03/14/2016 12:25:00 PM,Lead Kit Request (Residential) (L10),11201,Open
03/14/2016 11:57:00 AM,Lead Kit Request (Residential) (L10),11364,Open
03/14/2016 11:49:00 AM,Lead Kit Request (Residential) (L10),10456,Open
03/14/2016 11:35:00 AM,Lead Kit Request (Residential) (L10),11230,Open
03/14/2016 11:27:00 AM,Lead Kit Request (Residential) (L10),10003,Open
03/14/2016 11:26:00 AM,Lead Kit Request (Residential) (L10),11203,Open
03/14/2016 11:23:00 AM,Lead Kit Request (Residential) (L10),10002,Open
03/14/2016 11:19:00 AM,Lead Kit Request (Residential) (L10),11364,Open
03/14/2016 11:06:00 AM,Lead Kit Request (Residential) (L10),11213,Open
03/14/2016 11:05:00 AM,Lead Kit Request (Residential) (L10),11215,Open
03/14/2016 09:25:00 AM,Lead Kit Request (Residential) (L10),11238,Open
03/14/2016 09:20:00 AM,Lead Kit Request (Residential) (L10),10075,Open
03/14/2016 09:17:00 AM,Lead Kit Request (Residential) (L10),11222,Open
03/14/2016 09:00:00 AM,Lead Kit Request (Residential) (L10),11355,Open
03/14/2016 08:44:00 AM,Lead Kit Request (Residential) (L10),10009,Open
03/14/2016 08:07:00 AM,Lead Kit Request (Residential) (L10),11105,Open
03/14/2016 06:59:00 AM,Lead Kit Request (Residential) (L10),10461,Open
03/14/2016 06:41:00 AM,Lead Kit Request (Residential) (L10),10040,Open
03/14/2016 06:07:00 AM,Lead Kit Request (Residential) (L10),11206,Open
03/14/2016 12:09:00 AM,Lead Kit Request (Residential) (L10),11209,Open
03/13/2016 10:51:00 PM,Lead Kit Request (Residential) (L10),10028,Open
03/13/2016 10:42:00 PM,Lead Kit Request (Residential) (L10),11235,Open
03/13/2016 10:08:00 PM,Lead Kit Request (Residential) (L10),10033,Open
03/13/2016 10:07:00 PM,Lead Kit Request (Residential) (L10),10033,Open
03/13/2016 09:38:00 PM,Lead Kit Request (Residential) (L10),10034,Open
03/13/2016 09:12:00 PM,Lead Kit Request (Residential) (L10),11238,Open
03/13/2016 08:48:00 PM,Lead Kit Request (Residential) (L10),11226,Open
03/13/2016 08:44:00 PM,Lead Kit Request (Residential) (L10),11226,Open
03/13/2016 07:36:00 PM,Lead Kit Request (Residential) (L10),11434,Open
03/13/2016 06:11:00 PM,Lead Kit Request (Residential) (L10),11385,Open
03/13/2016 05:49:00 PM,Lead Kit Request (Residential) (L10),10034,Open
03/13/2016 05:04:00 PM,Lead Kit Request (Residential) (L10),10465,Open
03/13/2016 04:54:00 PM,Lead Kit Request (Residential) (L10),11104,Open
03/13/2016 04:32:00 PM,Lead Kit Request (Residential) (L10),11210,Open
03/13/2016 04:05:00 PM,Lead Kit Request (Residential) (L10),11222,Open
03/13/2016 03:28:00 PM,Lead Kit Request (Residential) (L10),11213,Open
03/13/2016 03:04:00 PM,Lead Kit Request (Residential) (L10),10023,Open
03/13/2016 02:51:00 PM,Lead Kit Request (Residential) (L10),10025,Open
03/13/2016 02:29:00 PM,Lead Kit Request (Residential) (L10),11360,Open
03/13/2016 01:41:00 PM,Lead Kit Request (Residential) (L10),10013,Open
03/13/2016 12:31:00 PM,Lead Kit Request (Residential) (L10),11238,Open
03/13/2016 11:55:00 AM,Lead Kit Request (Residential) (L10),10034,Open
03/13/2016 11:09:00 AM,Lead Kit Request (Residential) (L10),10025,Open
03/13/2016 10:23:00 AM,Lead Kit Request (Residential) (L10),10012,Open
03/13/2016 09:41:00 AM,Lead Kit Request (Residential) (L10),10003,Open
03/13/2016 01:16:00 AM,Lead Kit Request (Residential) (L10),10009,Open
03/12/2016 11:34:00 PM,Lead Kit Request (Residential) (L10),10024,Open
03/12/2016 10:08:00 PM,Lead Kit Request (Residential) (L10),10024,Open
03/12/2016 09:53:00 PM,Lead Kit Request (Residential) (L10),11231,Open
03/12/2016 07:57:00 PM,Lead Kit Request (Residential) (L10),11421,Open
03/12/2016 07:30:00 PM,Lead Kit Request (Residential) (L10),11216,Open
03/12/2016 04:31:00 PM,Lead Kit Request (Residential) (L10),11222,Open
03/12/2016 04:09:00 PM,Lead Kit Request (Residential) (L10),10303,Open
03/12/2016 04:01:00 PM,Lead Kit Request (Residential) (L10),10026,Open
03/12/2016 03:38:00 PM,Lead Kit Request (Residential) (L10),10065,Open
03/12/2016 03:33:00 PM,Lead Kit Request (Residential) (L10),10009,Open
03/12/2016 02:37:00 PM,Lead Kit Request (Residential) (L10),11215,Open
03/12/2016 02:15:00 PM,Lead Kit Request (Residential) (L10),11231,Open
03/12/2016 01:36:00 PM,Lead Kit Request (Residential) (L10),11205,Open
03/12/2016 01:31:00 PM,Lead Kit Request (Residential) (L10),11220,Open
03/12/2016 01:11:00 PM,Lead Kit Request (Residential) (L10),10021,Open
03/12/2016 01:10:00 PM,Lead Kit Request (Residential) (L10),10023,Open
03/12/2016 12:20:00 PM,Lead Kit Request (Residential) (L10),10025,Open
03/12/2016 12:11:00 PM,Lead Kit Request (Residential) (L10),10026,Open
03/12/2016 12:06:00 PM,Lead Kit Request (Residential) (L10),10027,Open
03/12/2016 11:39:00 AM,Lead Kit Request (Residential) (L10),11215,Open
03/12/2016 11:11:00 AM,Lead Kit Request (Residential) (L10),10312,Open
03/12/2016 11:05:00 AM,Lead Kit Request (Residential) (L10),10306,Open
03/12/2016 10:09:00 AM,Lead Kit Request (Residential) (L10),10023,Open
03/12/2016 10:05:00 AM,Lead Kit Request (Residential) (L10),10011,Open
03/12/2016 09:42:00 AM,Lead Kit Request (Residential) (L10),10035,Open
03/12/2016 09:14:00 AM,Lead Kit Request (Residential) (L10),11216,Open
03/12/2016 09:06:00 AM,Lead Kit Request (Residential) (L10),11375,Open
03/12/2016 08:26:00 AM,Lead Kit Request (Residential) (L10),10033,Open
03/12/2016 08:10:00 AM,Lead Kit Request (Residential) (L10),11375,Open
03/12/2016 07:10:00 AM,Lead Kit Request (Residential) (L10),10463,Open
03/12/2016 05:46:00 AM,Lead Kit Request (Residential) (L10),11222,Open
03/12/2016 01:12:00 AM,Lead Kit Request (Residential) (L10),10009,Open
03/11/2016 11:30:00 PM,Lead Kit Request (Residential) (L10),10038,Open
03/11/2016 10:43:00 PM,Lead Kit Request (Residential) (L10),11235,Open
03/11/2016 10:22:00 PM,Lead Kit Request (Residential) (L10),11206,Open
03/11/2016 10:01:00 PM,Lead Kit Request (Residential) (L10),10039,Open
03/11/2016 09:59:00 PM,Lead Kit Request (Residential) (L10),11206,Open
03/11/2016 07:56:00 PM,Lead Kit Request (Residential) (L10),11209,Open
03/11/2016 07:48:00 PM,Lead Kit Request (Residential) (L10),11215,Open
03/11/2016 07:19:00 PM,Lead Kit Request (Residential) (L10),10034,Open
03/11/2016 05:27:00 PM,Lead Kit Request (Residential) (L10),10003,Open
03/11/2016 05:03:00 PM,Lead Kit Request (Residential) (L10),11228,Open
03/11/2016 04:52:00 PM,Lead Kit Request (Residential) (L10),11691,Open
03/11/2016 04:42:00 PM,Lead Kit Request (Residential) (L10),11375,Open
03/11/2016 04:10:00 PM,Lead Kit Request (Residential) (L10),10021,Open
03/11/2016 04:08:00 PM,Lead Kit Request (Residential) (L10),10034,Open
03/11/2016 03:45:00 PM,Lead Kit Request (Residential) (L10),11372,Open
03/11/2016 03:19:00 PM,Lead Kit Request (Residential) (L10),11211,Open
03/11/2016 03:03:00 PM,Lead Kit Request (Residential) (L10),10034,Open
03/11/2016 02:58:00 PM,Lead Kit Request (Residential) (L10),10030,Open
03/11/2016 02:38:00 PM,Lead Kit Request (Residential) (L10),11218,Open
03/11/2016 02:35:00 PM,Lead Kit Request (Residential) (L10),10023,Open
03/11/2016 02:22:00 PM,Lead Kit Request (Residential) (L10),10023,Open
03/11/2016 02:09:00 PM,Lead Kit Request (Residential) (L10),11211,Open
03/11/2016 02:08:00 PM,Lead Kit Request (Residential) (L10),11106,Open
03/11/2016 02:04:00 PM,Lead Kit Request (Residential) (L10),11222,Open
03/11/2016 01:55:00 PM,Lead Kit Request (Residential) (L10),10310,Open
03/11/2016 01:55:00 PM,Lead Kit Request (Residential) (L10),10471,Open
03/11/2016 01:38:00 PM,Lead Kit Request (Residential) (L10),11103,Open
03/11/2016 01:30:00 PM,Lead Kit Request (Residential) (L10),11201,Open
03/11/2016 01:21:00 PM,Lead Kit Request (Residential) (L10),11223,Open
03/11/2016 12:58:00 PM,Lead Kit Request (Residential) (L10),11222,Open
03/11/2016 12:47:00 PM,Lead Kit Request (Residential) (L10),10024,Open
03/11/2016 12:34:00 PM,Lead Kit Request (Residential) (L10),11211,Open
03/11/2016 12:10:00 PM,Lead Kit Request (Residential) (L10),11417,Open
03/11/2016 12:09:00 PM,Lead Kit Request (Residential) (L10),10023,Open
03/11/2016 11:25:00 AM,Lead Kit Request (Residential) (L10),11238,Open
03/11/2016 11:18:00 AM,Lead Kit Request (Residential) (L10),11232,Open
03/11/2016 11:12:00 AM,Lead Kit Request (Residential) (L10),10463,Open
03/11/2016 11:06:00 AM,Lead Kit Request (Residential) (L10),11385,Open
03/11/2016 11:06:00 AM,Lead Kit Request (Residential) (L10),10128,Open
03/11/2016 10:58:00 AM,Lead Kit Request (Residential) (L10),10024,Open
03/11/2016 10:57:00 AM,Lead Kit Request (Residential) (L10),10025,Open
03/11/2016 10:56:00 AM,Lead Kit Request (Residential) (L10),10030,Open
03/11/2016 10:56:00 AM,Lead Kit Request (Residential) (L10),11203,Open
03/11/2016 10:56:00 AM,Lead Kit Request (Residential) (L10),11211,Open
03/11/2016 10:56:00 AM,Lead Kit Request (Residential) (L10),10040,Open
03/11/2016 10:56:00 AM,Lead Kit Request (Residential) (L10),11201,Open
03/11/2016 10:54:00 AM,Lead Kit Request (Residential) (L10),11205,Open
03/11/2016 10:53:00 AM,Lead Kit Request (Residential) (L10),11372,Open
03/11/2016 10:52:00 AM,Lead Kit Request (Residential) (L10),11238,Open
03/11/2016 10:51:00 AM,Lead Kit Request (Residential) (L10),11232,Open
03/11/2016 10:41:00 AM,Lead Kit Request (Residential) (L10),10034,Open
03/11/2016 10:11:00 AM,Lead Kit Request (Residential) (L10),10034,Open
03/11/2016 10:05:00 AM,Lead Kit Request (Residential) (L10),11106,Open
03/11/2016 10:05:00 AM,Lead Kit Request (Residential) (L10),11222,Open
03/11/2016 09:48:00 AM,Lead Kit Request (Residential) (L10),10022,Open
03/11/2016 09:32:00 AM,Lead Kit Request (Residential) (L10),11411,Open
03/11/2016 09:19:00 AM,Lead Kit Request (Residential) (L10),10471,Open
03/11/2016 08:32:00 AM,Lead Kit Request (Residential) (L10),10001,Open
03/11/2016 08:20:00 AM,Lead Kit Request (Residential) (L10),10034,Open
03/11/2016 08:18:00 AM,Lead Kit Request (Residential) (L10),10011,Open
03/11/2016 07:38:00 AM,Lead Kit Request (Residential) (L10),10037,Open
03/11/2016 07:32:00 AM,Lead Kit Request (Residential) (L10),10032,Open
03/11/2016 07:30:00 AM,Lead Kit Request (Residential) (L10),11222,Open
03/11/2016 07:28:00 AM,Lead Kit Request (Residential) (L10),11226,Open
03/11/2016 12:53:00 AM,Lead Kit Request (Residential) (L10),11226,Open
03/11/2016 12:14:00 AM,Lead Kit Request (Residential) (L10),10034,Open
03/11/2016 12:09:00 AM,Lead Kit Request (Residential) (L10),10028,Open
03/10/2016 10:24:00 PM,Lead Kit Request (Residential) (L10),11201,Open
03/10/2016 10:14:00 PM,Lead Kit Request (Residential) (L10),10034,Open
03/10/2016 10:00:00 PM,Lead Kit Request (Residential) (L10),10032,Open
03/10/2016 09:51:00 PM,Lead Kit Request (Residential) (L10),10032,Open
03/10/2016 09:04:00 PM,Lead Kit Request (Residential) (L10),10040,Open
03/10/2016 08:49:00 PM,Lead Kit Request (Residential) (L10),10034,Open
03/10/2016 08:45:00 PM,Lead Kit Request (Residential) (L10),10034,Open
03/10/2016 08:37:00 PM,Lead Kit Request (Residential) (L10),10034,Open
03/10/2016 08:08:00 PM,Lead Kit Request (Residential) (L10),11238,Open
03/10/2016 07:50:00 PM,Lead Kit Request (Residential) (L10),10040,Open
03/10/2016 07:44:00 PM,Lead Kit Request (Residential) (L10),11411,Open
03/10/2016 06:49:00 PM,Lead Kit Request (Residential) (L10),11229,Open
03/10/2016 06:35:00 PM,Lead Kit Request (Residential) (L10),10034,Open
03/10/2016 05:52:00 PM,Lead Kit Request (Residential) (L10),10471,Open
03/10/2016 05:40:00 PM,Lead Kit Request (Residential) (L10),10034,Open
03/10/2016 05:19:00 PM,Lead Kit Request (Residential) (L10),11237,Open
03/10/2016 05:09:00 PM,Lead Kit Request (Residential) (L10),11216,Open
03/10/2016 05:03:00 PM,Lead Kit Request (Residential) (L10),10040,Open
03/10/2016 04:41:00 PM,Lead Kit Request (Residential) (L10),10034,Open
03/10/2016 04:27:00 PM,Lead Kit Request (Residential) (L10),11365,Open
03/10/2016 04:23:00 PM,Lead Kit Request (Residential) (L10),10033,Open
03/10/2016 04:23:00 PM,Lead Kit Request (Residential) (L10),11218,Open
03/10/2016 03:25:00 PM,Lead Kit Request (Residential) (L10),10463,Open
03/10/2016 03:04:00 PM,Lead Kit Request (Residential) (L10),10305,Open
03/10/2016 02:52:00 PM,Lead Kit Request (Residential) (L10),10022,Open
03/10/2016 02:27:00 PM,Lead Kit Request (Residential) (L10),11220,Open
03/10/2016 01:52:00 PM,Lead Kit Request (Residential) (L10),10034,Open
03/10/2016 01:52:00 PM,Lead Kit Request (Residential) (L10),11229,Open
03/10/2016 01:50:00 PM,Lead Kit Request (Residential) (L10),11229,Open
03/10/2016 01:47:00 PM,Lead Kit Request (Residential) (L10),10017,Open
03/10/2016 01:35:00 PM,Lead Kit Request (Residential) (L10),11238,Open
03/10/2016 01:31:00 PM,Lead Kit Request (Residential) (L10),11237,Open
03/10/2016 01:30:00 PM,Lead Kit Request (Residential) (L10),11101,Open
03/10/2016 12:55:00 PM,Lead Kit Request (Residential) (L10),10465,Open
03/10/2016 12:10:00 PM,Lead Kit Request (Residential) (L10),11101,Open
03/10/2016 12:02:00 PM,Lead Kit Request (Residential) (L10),10034,Open
03/10/2016 11:58:00 AM,Lead Kit Request (Residential) (L10),11229,Open
03/10/2016 11:52:00 AM,Lead Kit Request (Residential) (L10),11103,Open
03/10/2016 11:43:00 AM,Lead Kit Request (Residential) (L10),10016,Open
03/10/2016 11:31:00 AM,Lead Kit Request (Residential) (L10),11103,Open
03/10/2016 11:17:00 AM,Lead Kit Request (Residential) (L10),10009,Open
03/10/2016 11:13:00 AM,Lead Kit Request (Residential) (L10),11379,Open
03/10/2016 11:06:00 AM,Lead Kit Request (Residential) (L10),10034,Open
03/10/2016 10:55:00 AM,Lead Kit Request (Residential) (L10),10016,Open
03/10/2016 10:50:00 AM,Lead Kit Request (Residential) (L10),10040,Open
03/10/2016 10:31:00 AM,Lead Kit Request (Residential) (L10),11365,Open
03/10/2016 10:20:00 AM,Lead Kit Request (Residential) (L10),10463,Open
03/10/2016 10:17:00 AM,Lead Kit Request (Residential) (L10),10454,Open
03/10/2016 10:17:00 AM,Lead Kit Request (Residential) (L10),10035,Open
03/10/2016 10:15:00 AM,Lead Kit Request (Residential) (L10),10017,Open
03/10/2016 10:01:00 AM,Lead Kit Request (Residential) (L10),11211,Open
03/10/2016 09:53:00 AM,Lead Kit Request (Residential) (L10),10034,Open
03/10/2016 09:33:00 AM,Lead Kit Request (Residential) (L10),10038,Open
03/10/2016 09:32:00 AM,Lead Kit Request (Residential) (L10),10023,Open
03/10/2016 09:32:00 AM,Lead Kit Request (Residential) (L10),11229,Open
03/10/2016 09:24:00 AM,Lead Kit Request (Residential) (L10),11215,Open
03/10/2016 09:20:00 AM,Lead Kit Request (Residential) (L10),10033,Open
03/10/2016 09:11:00 AM,Lead Kit Request (Residential) (L10),11238,Open
03/10/2016 09:06:00 AM,Lead Kit Request (Residential) (L10),11102,Open
03/10/2016 08:42:00 AM,Lead Kit Request (Residential) (L10),11215,Open
03/10/2016 08:40:00 AM,Lead Kit Request (Residential) (L10),10010,Open
03/10/2016 08:06:00 AM,Lead Kit Request (Residential) (L10),10024,Open
03/10/2016 07:50:00 AM,Lead Kit Request (Residential) (L10),10040,Open
03/10/2016 07:33:00 AM,Lead Kit Request (Residential) (L10),10012,Open
03/10/2016 07:10:00 AM,Lead Kit Request (Residential) (L10),10040,Open
03/10/2016 06:57:00 AM,Lead Kit Request (Residential) (L10),10040,Open
03/10/2016 06:53:00 AM,Lead Kit Request (Residential) (L10),10035,Open
03/10/2016 06:34:00 AM,Lead Kit Request (Residential) (L10),10460,Open
03/10/2016 06:23:00 AM,Lead Kit Request (Residential) (L10),10034,Open
03/10/2016 06:19:00 AM,Lead Kit Request (Residential) (L10),10040,Open
03/10/2016 03:40:00 AM,Lead Kit Request (Residential) (L10),10034,Open
03/10/2016 03:05:00 AM,Lead Kit Request (Residential) (L10),10002,Open
03/10/2016 01:12:00 AM,Lead Kit Request (Residential) (L10),11229,Open
03/10/2016 01:00:00 AM,Lead Kit Request (Residential) (L10),10031,Open
03/09/2016 11:21:00 PM,Lead Kit Request (Residential) (L10),11217,Open
03/09/2016 10:53:00 PM,Lead Kit Request (Residential) (L10),11230,Open
03/09/2016 10:31:00 PM,Lead Kit Request (Residential) (L10),11249,Open
03/09/2016 10:21:00 PM,Lead Kit Request (Residential) (L10),11238,Open
03/09/2016 10:11:00 PM,Lead Kit Request (Residential) (L10),10034,Open
03/09/2016 10:07:00 PM,Lead Kit Request (Residential) (L10),10009,Open
03/09/2016 10:01:00 PM,Lead Kit Request (Residential) (L10),10025,Open
03/09/2016 09:51:00 PM,Lead Kit Request (Residential) (L10),11229,Open
03/09/2016 09:44:00 PM,Lead Kit Request (Residential) (L10),11229,Open
03/09/2016 09:10:00 PM,Lead Kit Request (Residential) (L10),11211,Open
03/09/2016 08:50:00 PM,Lead Kit Request (Residential) (L10),11418,Open
03/09/2016 06:54:00 PM,Lead Kit Request (Residential) (L10),11207,Open
03/09/2016 06:40:00 PM,Lead Kit Request (Residential) (L10),11217,Open
03/09/2016 05:53:00 PM,Lead Kit Request (Residential) (L10),10003,Open
03/09/2016 05:38:00 PM,Lead Kit Request (Residential) (L10),11234,Open
03/09/2016 05:22:00 PM,Lead Kit Request (Residential) (L10),11217,Open
03/09/2016 05:10:00 PM,Lead Kit Request (Residential) (L10),11204,Open
03/09/2016 04:44:00 PM,Lead Kit Request (Residential) (L10),10026,Open
03/09/2016 04:32:00 PM,Lead Kit Request (Residential) (L10),11360,Open
03/09/2016 04:32:00 PM,Lead Kit Request (Residential) (L10),10472,Open
03/09/2016 04:28:00 PM,Lead Kit Request (Residential) (L10),10471,Open
03/09/2016 04:14:00 PM,Lead Kit Request (Residential) (L10),11216,Open
03/09/2016 03:57:00 PM,Lead Kit Request (Residential) (L10),11206,Open
03/09/2016 03:52:00 PM,Lead Kit Request (Residential) (L10),10075,Open
03/09/2016 03:34:00 PM,Lead Kit Request (Residential) (L10),11215,Open
03/09/2016 02:49:00 PM,Lead Kit Request (Residential) (L10),10013,Open
03/09/2016 02:32:00 PM,Lead Kit Request (Residential) (L10),10025,Open
03/09/2016 02:26:00 PM,Lead Kit Request (Residential) (L10),10025,Open
03/09/2016 02:20:00 PM,Lead Kit Request (Residential) (L10),,Open
03/09/2016 02:17:00 PM,Lead Kit Request (Residential) (L10),10021,Open
03/09/2016 02:11:00 PM,Lead Kit Request (Residential) (L10),11238,Open
03/09/2016 01:46:00 PM,Lead Kit Request (Residential) (L10),11103,Open
03/09/2016 12:40:00 PM,Lead Kit Request (Residential) (L10),11214,Open
03/09/2016 11:38:00 AM,Lead Kit Request (Residential) (L10),11216,Open
03/09/2016 10:50:00 AM,Lead Kit Request (Residential) (L10),10036,Open
03/09/2016 10:12:00 AM,Lead Kit Request (Residential) (L10),11365,Open
03/09/2016 10:09:00 AM,Lead Kit Request (Residential) (L10),10009,Open
03/09/2016 10:03:00 AM,Lead Kit Request (Residential) (L10),10039,Open
03/08/2016 10:51:00 PM,Lead Kit Request (Residential) (L10),10016,Open
03/08/2016 10:38:00 PM,Lead Kit Request (Residential) (L10),11225,Open
03/08/2016 07:01:00 PM,Lead Kit Request (Residential) (L10),11238,Open
03/08/2016 06:20:00 PM,Lead Kit Request (Residential) (L10),11201,Open
03/08/2016 06:17:00 PM,Lead Kit Request (Residential) (L10),10009,Open
03/08/2016 05:18:00 PM,Lead Kit Request (Residential) (L10),10010,Open
03/08/2016 02:23:00 PM,Lead Kit Request (Residential) (L10),11222,Open
03/08/2016 01:44:00 PM,Lead Kit Request (Residential) (L10),10025,Open
03/08/2016 01:36:00 PM,Lead Kit Request (Residential) (L10),11249,Open
03/08/2016 12:55:00 PM,Lead Kit Request (Residential) (L10),11214,Open
03/08/2016 12:48:00 PM,Lead Kit Request (Residential) (L10),11206,Open
03/08/2016 12:30:00 PM,Lead Kit Request (Residential) (L10),11238,Open
03/08/2016 12:06:00 PM,Lead Kit Request (Residential) (L10),11201,Open
03/08/2016 11:32:00 AM,Lead Kit Request (Residential) (L10),11217,Open
03/08/2016 11:31:00 AM,Lead Kit Request (Residential) (L10),10023,Open
03/08/2016 11:29:00 AM,Lead Kit Request (Residential) (L10),10002,Open
03/08/2016 11:08:00 AM,Lead Kit Request (Residential) (L10),10016,Open
03/08/2016 10:26:00 AM,Lead Kit Request (Residential) (L10),11215,Open
